Amanita	SH448427.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	58.595272|25.013607
Amanita	SH448303.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	58.595272|25.013607, 51.165691|10.451526, 56.26392|9.501785, 46.227638|2.213749, 41.87194|12.56738, 51.919438|19.145136, 46.227638|2.213749
Amanita	SH448345.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	61.52401|105.318756
Amanita	SH448434.07FU	SH133647.07FU	SH074251.07FU	SH032139.07FU	-25.274398|133.775136
Amanita	SH448449.07FU	SH133687.07FU	SH074280.07FU	SH032139.07FU	-25.274398|133.775136
Amanita	SH448323.07FU	SH133647.07FU	SH074251.07FU	SH032139.07FU	-25.274398|133.775136, -25.274398|133.775136
Amanita	SH320497.07FU	SH082307.07FU	SH038021.07FU	SH003270.07FU	37.09024|-95.712891
Amanita	SH320434.07FU	SH082307.07FU	SH038021.07FU	SH003270.07FU	56.130366|-106.346771
Amanita	SH320510.07FU	SH082307.07FU	SH038021.07FU	SH003270.07FU	56.130366|-106.346771
Amanita	SH320545.07FU	SH082307.07FU	SH038021.07FU	SH003270.07FU	56.130366|-106.346771
Amanita	SH365112.07FU	SH099009.07FU	SH049238.07FU	SH011907.07FU	35.86166|104.195397
Amanita	SH365103.07FU	SH099003.07FU	SH049238.07FU	SH011907.07FU	37.09024|-95.712891, 37.09024|-95.712891
Amanita	SH365119.07FU	SH099002.07FU	SH049238.07FU	SH011907.07FU	41.87194|12.56738
Amanita	SH365101.07FU	SH099002.07FU	SH049238.07FU	SH011907.07FU	51.165691|10.451526, 58.595272|25.013607, 58.595272|25.013607
Amanita	SH365114.07FU	SH099010.07FU	SH049243.07FU	SH011907.07FU	56.130366|-106.346771
Amanita	SH365102.07FU	SH099002.07FU	SH049238.07FU	SH011907.07FU	58.595272|25.013607, 51.165691|10.451526, 58.595272|25.013607, 61.52401|105.318756
Amanita	SH448437.07FU	SH133629.07FU	SH074235.07FU	SH032127.07FU	37.09024|-95.712891
Amanita	SH448462.07FU	SH133629.07FU	SH074235.07FU	SH032127.07FU	41.87194|12.56738
Amanita	SH448390.07FU	SH133629.07FU	SH074235.07FU	SH032127.07FU	51.165691|10.451526
Amanita	SH448464.07FU	SH133692.07FU	SH074282.07FU	SH032127.07FU	51.165691|10.451526
Amanita	SH448477.07FU	SH133629.07FU	SH074235.07FU	SH032127.07FU	56.130366|-106.346771
Amanita	SH448302.07FU	SH133629.07FU	SH074235.07FU	SH032127.07FU	58.595272|25.013607, 55.378051|-3.435973, 36.204824|138.252924, 56.879635|24.603189, 49.817492|15.472962, 56.130366|-106.346771, 56.26392|9.501785, 56.130366|-106.346771, 61.92411|25.748151, 37.09024|-95.712891, 56.130366|-106.346771, 56.130366|-106.346771, 60.472024|8.468946, 56.130366|-106.346771
Amanita	SH448304.07FU	SH133629.07FU	SH074235.07FU	SH032127.07FU	58.595272|25.013607, 61.92411|25.748151, 46.818188|8.227512, 61.92411|25.748151, 61.92411|25.748151, 37.09024|-95.712891, 58.595272|25.013607
Amanita	SH448388.07FU	SH133629.07FU	SH074235.07FU	SH032127.07FU	61.92411|25.748151
Amanita	SH318738.07FU	SH081604.07FU	SH037489.07FU	SH002837.07FU	35.86166|104.195397
Amanita	SH318740.07FU	SH081604.07FU	SH037489.07FU	SH002837.07FU	35.86166|104.195397
Amanita	SH318783.07FU	SH081604.07FU	SH037489.07FU	SH002837.07FU	35.86166|104.195397
Amanita	SH318792.07FU	SH081604.07FU	SH037489.07FU	SH002837.07FU	35.86166|104.195397
Amanita	SH387047.07FU	SH107712.07FU	SH055459.07FU	SH016771.07FU	40.463667|-3.74922
Amanita	SH387039.07FU	SH107712.07FU	SH055459.07FU	SH016771.07FU	41.87194|12.56738
Amanita	SH387060.07FU	SH107723.07FU	SH055459.07FU	SH016771.07FU	41.87194|12.56738
Amanita	SH377269.07FU	SH103594.07FU	SH052371.07FU	SH014321.07FU	35.86166|104.195397
Amanita	SH377268.07FU	SH103593.07FU	SH052370.07FU	SH014321.07FU	36.204824|138.252924
